"","quad","year","track_id","size_t0","logsize_t0","survives","size_t1"
"1","gzgz_11",1998,"BUCDAC_1998_1",4.99999999999988e-05,-9.90348755253615,0,NA
"2","gzgz_11",1998,"BUCDAC_1998_2",2.49999999999994e-05,-10.5966347330961,0,NA
"3","gzgz_11",2001,"BUCDAC_2001_1",2.49999999999995e-05,-10.5966347330961,0,NA
"4","gzgz_11",2001,"BUCDAC_2001_2",2.49999999999995e-05,-10.5966347330961,0,NA
"5","gzgz_19",1998,"BUCDAC_1998_1",2.49999999999994e-05,-10.5966347330961,0,NA
"6","gzgz_19",2007,"BUCDAC_2007_1",0.00597397990059843,-5.12034192367355,0,NA
"7","gzgz_24",1997,"BUCDAC_1997_1",0.1703906900201,-1.7696613021118,1,0.330538790563641
"8","gzgz_24",1998,"BUCDAC_1997_1",0.330538790563641,-1.10703125724741,1,0.459518555369159
"9","gzgz_24",1999,"BUCDAC_1997_1",0.459518555369159,-0.77757595634957,1,0.282471596672843
"10","gzgz_24",2000,"BUCDAC_1997_1",0.282471596672843,-1.2641772762014,1,0.368746824867539
"11","gzgz_24",2001,"BUCDAC_1997_1",0.368746824867539,-0.997644981893887,1,0.393884681107176
"12","gzgz_24",2002,"BUCDAC_1997_1",0.393884681107176,-0.931697100070801,1,0.187538995622984
"13","gzgz_24",2003,"BUCDAC_1997_1",0.187538995622984,-1.6737684785399,1,0.0819310481906077
"14","gzgz_24",2004,"BUCDAC_1997_1",0.0819310481906077,-2.50187726117648,1,0.075216615658776
"15","gzgz_24",2005,"BUCDAC_1997_1",0.075216615658776,-2.58738311952359,1,0.0104206649821262
"16","gzgz_24",2006,"BUCDAC_1997_1",0.0104206649821262,-4.5639644268308,1,0.00306175169790417
"17","gzgz_24",2008,"BUCDAC_1997_1",0.00306175169790417,-5.78876807650953,1,0.00341203895748148
"18","gzgz_24",2009,"BUCDAC_1997_1",0.00341203895748148,-5.68044523163316,1,0.00600701831281837
"20","gzgz_24",1997,"BUCDAC_1997_2",0.0103899773223733,-4.56691365651311,1,0.0160920828852869
"21","gzgz_24",1998,"BUCDAC_1997_2",0.0160920828852869,-4.12942787419403,1,0.0111309470863214
"22","gzgz_24",1999,"BUCDAC_1997_2",0.0111309470863214,-4.49802602420426,1,0.0086247172119348
"23","gzgz_24",2000,"BUCDAC_1997_2",0.0086247172119348,-4.75312310362427,1,0.0282595920523288
"24","gzgz_24",2001,"BUCDAC_1997_2",0.0282595920523288,-3.56632233734556,1,0.0514890599624405
"25","gzgz_24",2002,"BUCDAC_1997_2",0.0514890599624405,-2.96638592179223,1,0.00192923499932948
"26","gzgz_24",2003,"BUCDAC_1997_2",0.00192923499932948,-6.25063172804646,1,0.00455675459844938
"27","gzgz_24",2004,"BUCDAC_1997_2",0.00455675459844938,-5.39114461970862,1,0.00527289516328084
"28","gzgz_24",2005,"BUCDAC_1997_2",0.00527289516328084,-5.24517570042913,0,NA
"29","gzgz_24",1998,"BUCDAC_1998_1",0.00526257311878464,-5.24713518576429,1,0.00319666130638166
"30","gzgz_24",2000,"BUCDAC_1998_1",0.00319666130638166,-5.74564835559207,1,0.00173928869014055
"31","gzgz_24",2001,"BUCDAC_1998_1",0.00173928869014055,-6.35427904810649,1,0.0249626339387104
"32","gzgz_24",2002,"BUCDAC_1998_1",0.0249626339387104,-3.69037521465779,1,0.000499906282683358
"33","gzgz_24",2003,"BUCDAC_1998_1",0.000499906282683358,-7.60108991174343,1,0.00140504258629378
"34","gzgz_24",2004,"BUCDAC_1998_1",0.00140504258629378,-6.5676876661264,1,2.49999999999996e-05
"35","gzgz_24",2005,"BUCDAC_1998_1",2.49999999999996e-05,-10.5966347330961,0,NA
"36","gzgz_24",1998,"BUCDAC_1998_10",0.00229425702813176,-6.07734622290196,1,0.00116227196138403
"37","gzgz_24",1999,"BUCDAC_1998_10",0.00116227196138403,-6.75737860199539,1,0.00105462018960939
"38","gzgz_24",2000,"BUCDAC_1998_10",0.00105462018960939,-6.85457458672213,0,NA
"39","gzgz_24",1998,"BUCDAC_1998_11",0.000203509976698035,-8.49979552874017,0,NA
"40","gzgz_24",1998,"BUCDAC_1998_12",0.00363500731555239,-5.61714415546707,1,0.00356097203241934
"41","gzgz_24",1999,"BUCDAC_1998_12",0.00356097203241934,-5.63772172857318,1,0.00636290891052308
"42","gzgz_24",2001,"BUCDAC_1998_12",0.00636290891052308,-5.05726963032616,1,0.000886378194048382
"43","gzgz_24",2002,"BUCDAC_1998_12",0.000886378194048382,-7.02836684285104,1,0.00212727748581811
"44","gzgz_24",2003,"BUCDAC_1998_12",0.00212727748581811,-6.15291229249631,1,0.00057213005553472
"45","gzgz_24",2004,"BUCDAC_1998_12",0.00057213005553472,-7.46614422261313,1,7.49999999999987e-05
"46","gzgz_24",2005,"BUCDAC_1998_12",7.49999999999987e-05,-9.49802244442798,0,NA
"47","gzgz_24",1998,"BUCDAC_1998_2",0.00364005971830274,-5.61575519134094,1,0.000739597155898022
"48","gzgz_24",2000,"BUCDAC_1998_2",0.000739597155898022,-7.20940490391838,1,0.00144765073289683
"49","gzgz_24",2001,"BUCDAC_1998_2",0.00144765073289683,-6.53781322067656,1,2.4999999999999e-05
"50","gzgz_24",2003,"BUCDAC_1998_2",2.4999999999999e-05,-10.5966347330961,1,2.4999999999999e-05
"51","gzgz_24",2005,"BUCDAC_1998_2",2.4999999999999e-05,-10.5966347330961,0,NA
"52","gzgz_24",1998,"BUCDAC_1998_3",0.0119592123588384,-4.42625338891269,1,7.49999999999984e-05
"53","gzgz_24",1999,"BUCDAC_1998_3",7.49999999999984e-05,-9.49802244442798,1,0.00977284707346725
"54","gzgz_24",2000,"BUCDAC_1998_3",0.00977284707346725,-4.62814744560756,1,0.00923126899562458
"55","gzgz_24",2001,"BUCDAC_1998_3",0.00923126899562458,-4.68515875393455,1,0.000224242542812031
"56","gzgz_24",2003,"BUCDAC_1998_3",0.000224242542812031,-8.40278231148228,0,NA
"57","gzgz_24",1998,"BUCDAC_1998_4",0.0111683294645724,-4.49467323262968,1,0.00835113016392392
"58","gzgz_24",2000,"BUCDAC_1998_4",0.00835113016392392,-4.78535840030529,1,0.01271358745573
"59","gzgz_24",2001,"BUCDAC_1998_4",0.01271358745573,-4.36508397902568,1,0.000811573793227169
"60","gzgz_24",2003,"BUCDAC_1998_4",0.000811573793227169,-7.11653524079126,1,0.000481760013720725
"61","gzgz_24",2004,"BUCDAC_1998_4",0.000481760013720725,-7.63806446475043,1,0.000679260001455019
"62","gzgz_24",2005,"BUCDAC_1998_4",0.000679260001455019,-7.29450658550414,0,NA
"63","gzgz_24",1998,"BUCDAC_1998_5",0.000757349069559075,-7.18568628854012,1,0.000760588088802414
"64","gzgz_24",2000,"BUCDAC_1998_5",0.000760588088802414,-7.18141862285777,1,0.00153794935483422
"65","gzgz_24",2001,"BUCDAC_1998_5",0.00153794935483422,-6.47730533767739,1,0.000600212138408624
"66","gzgz_24",2002,"BUCDAC_1998_5",0.000600212138408624,-7.41822740122278,1,0.000714227505061523
"67","gzgz_24",2003,"BUCDAC_1998_5",0.000714227505061523,-7.24430901183795,1,0.000578010052986228
"68","gzgz_24",2004,"BUCDAC_1998_5",0.000578010052986228,-7.45591929673341,1,0.00196687000878974
"69","gzgz_24",2006,"BUCDAC_1998_5",0.00196687000878974,-6.23131182778353,1,0.00176527848717883
"70","gzgz_24",2008,"BUCDAC_1998_5",0.00176527848717883,-6.33944681793917,1,0.000749144162386659
"72","gzgz_24",1998,"BUCDAC_1998_6",0.00562526215449716,-5.1804877267337,1,0.00917913441069526
"73","gzgz_24",1999,"BUCDAC_1998_6",0.00917913441069526,-4.69082236956933,1,0.0065098968639125
"74","gzgz_24",2000,"BUCDAC_1998_6",0.0065098968639125,-5.03443166560413,1,0.00852793857413105
"75","gzgz_24",2001,"BUCDAC_1998_6",0.00852793857413105,-4.76440761443039,1,0.00902045683124
"76","gzgz_24",2002,"BUCDAC_1998_6",0.00902045683124,-4.70826029971116,1,0.000386772484701091
"77","gzgz_24",2003,"BUCDAC_1998_6",0.000386772484701091,-7.85767393264164,0,NA
"78","gzgz_24",1998,"BUCDAC_1998_7",0.00328220030007953,-5.71924125829241,1,9.78604797508082e-05
"79","gzgz_24",1999,"BUCDAC_1998_7",9.78604797508082e-05,-9.23196776969545,1,0.000524723913262861
"80","gzgz_24",2001,"BUCDAC_1998_7",0.000524723913262861,-7.55263831319508,1,0.00168869251803857
"81","gzgz_24",2003,"BUCDAC_1998_7",0.00168869251803857,-6.38380070744027,1,0.002999090142217
"82","gzgz_24",2005,"BUCDAC_1998_7",0.002999090142217,-5.80944632224217,0,NA
"83","gzgz_24",1998,"BUCDAC_1998_8",0.0114879123004704,-4.46645990071739,1,0.0116035018652226
"84","gzgz_24",1999,"BUCDAC_1998_8",0.0116035018652226,-4.45644834149492,1,0.0178666388522909
"85","gzgz_24",2001,"BUCDAC_1998_8",0.0178666388522909,-4.02482005634946,1,0.0187634552985201
"86","gzgz_24",2002,"BUCDAC_1998_8",0.0187634552985201,-3.97584416800783,1,0.00974417729018314
"87","gzgz_24",2003,"BUCDAC_1998_8",0.00974417729018314,-4.63108537337479,1,0.00225208000674647
"88","gzgz_24",2004,"BUCDAC_1998_8",0.00225208000674647,-6.09590104236131,1,0.00144373495332588
"89","gzgz_24",2005,"BUCDAC_1998_8",0.00144373495332588,-6.54052180568727,0,NA
"90","gzgz_24",1998,"BUCDAC_1998_9",0.00633105747330924,-5.06228799938376,0,NA
"91","gzgz_24",2000,"BUCDAC_2000_1",0.000847970444326233,-7.07266477616864,0,NA
"92","gzgz_24",2000,"BUCDAC_2000_2",0.00067713706051336,-7.29763685279041,0,NA
"93","gzgz_24",2000,"BUCDAC_2000_3",2.49999999999994e-05,-10.5966347330961,0,NA
"94","gzgz_24",2000,"BUCDAC_2000_4",2.49999999999995e-05,-10.5966347330961,0,NA
"95","gzgz_24",2000,"BUCDAC_2000_5",2.49999999999994e-05,-10.5966347330961,0,NA
"96","gzgz_24",2000,"BUCDAC_2000_6",2.49999999999994e-05,-10.5966347330961,0,NA
"97","gzgz_24",2001,"BUCDAC_2001_1",0.000215668415258616,-8.44176844431915,0,NA
"98","gzgz_24",2001,"BUCDAC_2001_2",0.000907891876104044,-7.00438526563404,0,NA
"99","gzgz_24",2001,"BUCDAC_2001_3",0.000141313563225816,-8.86452928402115,0,NA
"100","gzgz_24",2002,"BUCDAC_2002_1",0.000748873470758463,-7.19694051961406,0,NA
"101","gzgz_24",2003,"BUCDAC_2003_1",0.000855217497476104,-7.0641547383644,1,0.00493879485928062
"102","gzgz_24",2005,"BUCDAC_2003_1",0.00493879485928062,-5.31063393315553,0,NA
"103","gzgz_24",2003,"BUCDAC_2003_2",0.000213710006397047,-8.45089057222887,1,2.4999999999999e-05
"104","gzgz_24",2005,"BUCDAC_2003_2",2.4999999999999e-05,-10.5966347330961,0,NA
"105","gzgz_24",2003,"BUCDAC_2003_3",2.49999999999998e-05,-10.5966347330961,1,2.49999999999998e-05
"106","gzgz_24",2005,"BUCDAC_2003_3",2.49999999999998e-05,-10.5966347330961,0,NA
"107","gzgz_24",2003,"BUCDAC_2003_4",2.49999999999998e-05,-10.5966347330961,0,NA
"108","gzgz_24",2004,"BUCDAC_2004_1",0.000723160004259659,-7.23188005426012,1,0.00100045505817809
"109","gzgz_24",2005,"BUCDAC_2004_1",0.00100045505817809,-6.90730032431162,0,NA
"110","gzgz_24",2004,"BUCDAC_2004_2",0.00111446988923008,-6.79937642279352,1,0.000124999999999997
"111","gzgz_24",2005,"BUCDAC_2004_2",0.000124999999999997,-8.98719682066199,0,NA
"112","gzgz_24",2005,"BUCDAC_2005_1",0.000993000032226803,-6.91477986146512,0,NA
"113","gzgz_24",2005,"BUCDAC_2005_10",2.4999999999999e-05,-10.5966347330961,0,NA
"114","gzgz_24",2005,"BUCDAC_2005_11",2.4999999999999e-05,-10.5966347330961,0,NA
"115","gzgz_24",2005,"BUCDAC_2005_12",2.49999999999994e-05,-10.5966347330961,0,NA
"116","gzgz_24",2005,"BUCDAC_2005_2",0.000834339949925119,-7.08886962483838,0,NA
"117","gzgz_24",2005,"BUCDAC_2005_3",0.000900034921798733,-7.01307699339415,1,0.00309055009296235
"118","gzgz_24",2006,"BUCDAC_2005_3",0.00309055009296235,-5.7794061803044,1,0.00160523701569239
"119","gzgz_24",2008,"BUCDAC_2005_3",0.00160523701569239,-6.4344838599742,1,0.00107431662495339
"120","gzgz_24",2009,"BUCDAC_2005_3",0.00107431662495339,-6.83607051726175,1,0.00252322738348349
"122","gzgz_24",2005,"BUCDAC_2005_4",0.000716370016572503,-7.24131374156745,0,NA
"123","gzgz_24",2005,"BUCDAC_2005_5",2.49999999999994e-05,-10.5966347330961,0,NA
"124","gzgz_24",2005,"BUCDAC_2005_6",2.50000000000001e-05,-10.5966347330961,0,NA
"125","gzgz_24",2005,"BUCDAC_2005_7",2.4999999999999e-05,-10.5966347330961,0,NA
"126","gzgz_24",2005,"BUCDAC_2005_8",2.4999999999999e-05,-10.5966347330961,0,NA
"127","gzgz_24",2005,"BUCDAC_2005_9",2.4999999999999e-05,-10.5966347330961,0,NA
"128","gzgz_24",2008,"BUCDAC_2008_1",0.0017144554235177,-6.36865978609734,1,0.00124874380620681
"130","gzgz_24",2008,"BUCDAC_2008_2",0.00290530610721396,-5.84121652169463,1,0.00556277976240338
"131","gzgz_24",2009,"BUCDAC_2008_2",0.00556277976240338,-5.19165733838985,1,0.0144821473548127
"133","gzgz_24",2008,"BUCDAC_2008_3",0.00266591590646881,-5.92720760068305,1,0.00722255903223656
"134","gzgz_24",2009,"BUCDAC_2008_3",0.00722255903223656,-4.93054595227735,1,0.00474297333470059
"136","gzgz_24",2008,"BUCDAC_2008_4",0.000894736555893504,-7.01898123397614,1,0.000798809884638573
"138","gzgz_24",2008,"BUCDAC_2008_5",0.00113197844945278,-6.78378833696824,1,0.00184818499937656
"139","gzgz_24",2009,"BUCDAC_2008_5",0.00184818499937656,-6.29355120288535,1,0.00108160960423907
"141","gzgz_24",2008,"BUCDAC_2008_6",0.00071962698545712,-7.23677755595579,1,0.00766899219289261
"142","gzgz_24",2009,"BUCDAC_2008_6",0.00766899219289261,-4.87057006820846,1,0.0396477757164831
"144","gzgz_24",2008,"BUCDAC_2008_7",0.000244526251304528,-8.31618788751412,1,0.00447023788992755
"146","gzgz_24",2009,"BUCDAC_2009_1",0.000639425987024567,-7.35493967933589,1,0.00570369495586946
"148","gzgz_24",2009,"BUCDAC_2009_10",0.00166449705235629,-6.39823227183915,1,0.00142273076401607
"150","gzgz_24",2009,"BUCDAC_2009_11",0.00716292303880831,-4.93883713567554,1,0.00535086075620352
"154","gzgz_24",2009,"BUCDAC_2009_14",0.00553065816844283,-5.19744845272835,1,2.49999999999996e-05
"156","gzgz_24",2009,"BUCDAC_2009_15",0.0059957965197673,-5.11669663531374,1,0.00285700787442776
"158","gzgz_24",2009,"BUCDAC_2009_16",2.50000000000003e-05,-10.5966347330961,1,0.000381160040659089
"160","gzgz_24",2009,"BUCDAC_2009_17",2.49999999999994e-05,-10.5966347330961,1,0.0023440690498194
"163","gzgz_24",2009,"BUCDAC_2009_19",2.49999999999994e-05,-10.5966347330961,1,0.000280452927014761
"165","gzgz_24",2009,"BUCDAC_2009_2",0.000362717956636416,-7.92188500466706,1,0.000967063075481072
"167","gzgz_24",2009,"BUCDAC_2009_20",2.50000000000001e-05,-10.5966347330961,1,0.0045299959938965
"171","gzgz_24",2009,"BUCDAC_2009_23",2.49999999999998e-05,-10.5966347330961,1,0.00047762493448321
"180","gzgz_24",2009,"BUCDAC_2009_30",2.49999999999994e-05,-10.5966347330961,1,0.000661482463602648
"182","gzgz_24",2009,"BUCDAC_2009_31",2.49999999999994e-05,-10.5966347330961,1,0.00265403752263924
"186","gzgz_24",2009,"BUCDAC_2009_34",2.49999999999994e-05,-10.5966347330961,1,7.49999999999982e-05
"191","gzgz_24",2009,"BUCDAC_2009_38",2.49999999999995e-05,-10.5966347330961,1,0.00750727718899083
"194","gzgz_24",2009,"BUCDAC_2009_4",0.000419209855989477,-7.77713891380855,1,0.000603459981349602
"199","gzgz_24",2009,"BUCDAC_2009_43",2.49999999999994e-05,-10.5966347330961,1,0.00369698397189066
"201","gzgz_24",2009,"BUCDAC_2009_44",2.49999999999996e-05,-10.5966347330961,1,0.00107724210643956
"203","gzgz_24",2009,"BUCDAC_2009_5",0.000261418860334991,-8.24938660813366,1,0.00142869753024043
"206","gzgz_24",2009,"BUCDAC_2009_7",0.000314007942458753,-8.06609227792129,1,0.00147627733020606
"208","gzgz_24",2009,"BUCDAC_2009_8",0.000793991639332639,-7.13843762658034,1,0.0087163621985896
"210","gzgz_24",2009,"BUCDAC_2009_9",0.000408232641682763,-7.80367334585963,1,0.004426156936865
"230","gzgz_5b",1997,"BUCDAC_1997_1",0.00383997026322463,-5.56229065636441,1,0.00577180258478205
"231","gzgz_5b",1998,"BUCDAC_1997_1",0.00577180258478205,-5.15477084087613,1,0.0209111894669846
"232","gzgz_5b",1999,"BUCDAC_1997_1",0.0209111894669846,-3.86747088208132,1,0.0473737143166819
"233","gzgz_5b",2001,"BUCDAC_1997_1",0.0473737143166819,-3.04968775438196,0,NA
"234","gzgz_5b",1997,"BUCDAC_1997_2",0.000504875560584151,-7.59119857373885,1,0.00591780846343301
"235","gzgz_5b",1998,"BUCDAC_1997_2",0.00591780846343301,-5.12978909061186,1,0.0141813176274857
"236","gzgz_5b",1999,"BUCDAC_1997_2",0.0141813176274857,-4.25582984065167,0,NA
"237","gzgz_5b",1997,"BUCDAC_1997_3",0.00136137389689432,-6.59926087085664,1,2.49999999999995e-05
"238","gzgz_5b",1998,"BUCDAC_1997_3",2.49999999999995e-05,-10.5966347330961,1,0.00788732829119273
"239","gzgz_5b",1999,"BUCDAC_1997_3",0.00788732829119273,-4.84249782108962,1,0.0061036789289157
"240","gzgz_5b",2001,"BUCDAC_1997_3",0.0061036789289157,-5.09886358649552,0,NA
"241","gzgz_5b",1997,"BUCDAC_1997_4",0.00211095268075319,-6.16061592592702,1,0.006974486343614
"242","gzgz_5b",1998,"BUCDAC_1997_4",0.006974486343614,-4.96549659647907,1,0.0354350465088479
"243","gzgz_5b",1999,"BUCDAC_1997_4",0.0354350465088479,-3.3400539342092,1,0.0938505921705183
"244","gzgz_5b",2001,"BUCDAC_1997_4",0.0938505921705183,-2.3660512062144,1,0.0128335790989628
"245","gzgz_5b",2002,"BUCDAC_1997_4",0.0128335790989628,-4.35569017597135,0,NA
"246","gzgz_5b",1997,"BUCDAC_1997_5",0.000710994957753419,-7.24884521995352,1,0.0028736268009958
"247","gzgz_5b",1998,"BUCDAC_1997_5",0.0028736268009958,-5.85218035327273,1,0.00535927156042217
"248","gzgz_5b",1999,"BUCDAC_1997_5",0.00535927156042217,-5.22892721604137,1,0.00274476074739625
"249","gzgz_5b",2001,"BUCDAC_1997_5",0.00274476074739625,-5.89806136723774,0,NA
"250","gzgz_5b",1998,"BUCDAC_1998_1",0.0010048160942671,-6.90295074499496,1,0.0030345743835198
"251","gzgz_5b",1999,"BUCDAC_1998_1",0.0030345743835198,-5.79768410037723,0,NA
"252","gzgz_5b",1998,"BUCDAC_1998_10",0.000453189144969955,-7.69920098106119,0,NA
"253","gzgz_5b",1998,"BUCDAC_1998_11",0.000114986604647546,-9.07069491771119,0,NA
"254","gzgz_5b",1998,"BUCDAC_1998_12",0.000420456506026882,-7.77416951784414,0,NA
"255","gzgz_5b",1998,"BUCDAC_1998_13",0.000320360324201966,-8.04606418251665,1,0.00788211407016775
"256","gzgz_5b",1999,"BUCDAC_1998_13",0.00788211407016775,-4.84315912807759,0,NA
"257","gzgz_5b",1998,"BUCDAC_1998_14",0.00116249713966808,-6.75718488100636,1,0.000949795216170251
"258","gzgz_5b",1999,"BUCDAC_1998_14",0.000949795216170251,-6.95926415853255,1,0.0126442747437587
"259","gzgz_5b",2001,"BUCDAC_1998_14",0.0126442747437587,-4.3705507556843,1,0.00287575130013826
"260","gzgz_5b",2002,"BUCDAC_1998_14",0.00287575130013826,-5.85144131708419,0,NA
"261","gzgz_5b",1998,"BUCDAC_1998_15",0.000595771386047526,-7.4256535449419,1,0.000357815233105283
"262","gzgz_5b",1999,"BUCDAC_1998_15",0.000357815233105283,-7.93549381343794,0,NA
"263","gzgz_5b",1998,"BUCDAC_1998_16",0.00107949028627903,-6.83126630640188,1,2.5e-05
"264","gzgz_5b",1999,"BUCDAC_1998_16",2.5e-05,-10.5966347330961,0,NA
"265","gzgz_5b",1998,"BUCDAC_1998_17",0.00104153057744643,-6.8670639386482,0,NA
"266","gzgz_5b",1998,"BUCDAC_1998_18",0.000194060227546681,-8.54734199580942,0,NA
"267","gzgz_5b",1998,"BUCDAC_1998_19",0.000938027640459086,-6.97173114195182,1,0.00847369418344586
"268","gzgz_5b",1999,"BUCDAC_1998_19",0.00847369418344586,-4.77078871623641,1,0.00194833998562123
