"quad","year","tot_p_area","g_cov","nr_quad"
"e1q1-3",69,268.76869447321,90.8679422533923,NA
"e1q1a-2",69,7.16314116178944,90.8679422533923,NA
"e1q1a-3",66,23.169832512462,98.1425683012999,NA
"e1q2-4",58,394.157122257989,214.475964464124,3
"e1q2-4",59,111.807711655762,139.711484430834,NA
"e1q2-8",44,2.2310798513775,99.116014595114,NA
"e1q2-8",69,112.214764000584,90.8679422533923,NA
"e1q3a-3",51,5.74876199487975,164.382113168243,NA
"e1q3a-3",58,90.9491092630041,214.475964464124,0
"e1q3a-3",59,58.5001687225365,139.711484430834,NA
"e1q4-1",42,10.6139025611275,59.1800876139676,0
"e1q4-1",43,34.0939602186611,127.002496237431,0
"e1q4-1",44,24.2403469579545,99.116014595114,0
"e1q4-1",45,29.037646933288,84.4700835069938,0
"e1q4-1",46,37.8756517241315,107.935352305781,0
"e1q4-1",47,51.8424417568725,136.561989162181,0
"e1q4-1",48,80.6698874626769,199.069608848475,0
"e1q4-1",49,160.575880788443,229.637766352153,0
"e1q4-1",50,108.466645818414,229.193794877211,0
"e1q4-1",51,81.6893384308369,164.382113168243,1
"e1q4-1",52,93.239151800269,160.110735986743,0
"e1q4-1",53,181.748916393165,279.303106033549,0
"e1q4-1",54,216.977284861531,332.234471245798,0
"e1q4-1",55,181.10706659368,306.214858073728,0
"e1q4-1",56,271.263447857606,371.222458831914,0
"e1q4-1",57,204.295633906861,287.541530060776,0
"e1q4-1",58,283.745907696871,214.475964464124,0
"e1q4-1",59,122.417485432174,139.711484430834,0
"e1q4-1",60,202.050469601933,236.45507991738,0
"e1q4-1",61,107.350281174908,120.276249692249,0
"e1q4-1",62,261.586232300454,118.412787561259,NA
"e1q4-1",65,48.1627405798305,130.77724025217,1
"e1q4-1",66,196.665165936985,98.1425683012999,0
"e1q4-1",67,127.161301919707,89.4180040143396,0
"e1q4-1",68,150.017275530449,80.5222580094875,NA
"e1q4-1",71,66.5160281000489,34.6350793156617,NA
"e1q4-2",37,5.6095651395475,19.2172000694357,0
"e1q4-2",38,26.8697817087835,81.8260723869729,0
"e1q4-2",39,43.6768951995747,126.391518878329,NA
"e1q4-2",41,59.2399073740853,74.3300217945539,0
"e1q4-2",42,57.390935645621,59.1800876139676,0
"e1q4-2",43,43.8178668611881,127.002496237431,0
"e1q4-2",44,124.262269352105,99.116014595114,0
"e1q4-2",45,48.9466563796768,84.4700835069938,0
"e1q4-2",46,65.4611656935976,107.935352305781,0
"e1q4-2",47,55.5710284651618,136.561989162181,0
"e1q4-2",48,86.2936382683805,199.069608848475,0
"e1q4-2",49,75.3067488988014,229.637766352153,0
"e1q4-2",50,73.5909138632791,229.193794877211,0
"e1q4-2",51,100.515429080414,164.382113168243,0
"e1q4-2",52,105.841185232893,160.110735986743,0
"e1q4-2",53,121.893848319693,279.303106033549,0
"e1q4-2",54,132.131070844104,332.234471245798,0
"e1q4-2",55,82.6657452815412,306.214858073728,0
"e1q4-2",56,104.257542398023,371.222458831914,0
"e1q4-2",57,45.4286318210884,287.541530060776,0
"e1q4-2",58,47.3291488844446,214.475964464124,0
"e1q4-2",59,24.9320896281841,139.711484430834,NA
"e1q4a-1",37,27.990684597192,19.2172000694357,0
"e1q4a-1",38,56.6750850250691,81.8260723869729,0
"e1q4a-1",39,82.5628549940399,126.391518878329,0
"e1q4a-1",40,72.5716918012881,138.408446090905,1
"e1q4a-1",41,123.195621125945,74.3300217945539,0
"e1q4a-1",42,116.124361861284,59.1800876139676,2
"e1q4a-1",43,332.509773937353,127.002496237431,1
"e1q4a-1",44,185.240685040561,99.116014595114,0
"e1q4a-1",45,200.330943453533,84.4700835069938,0
"e1q4a-1",46,102.787345474372,107.935352305781,1
"e1q4a-1",47,119.201350142148,136.561989162181,0
"e1q4a-1",48,156.300639578456,199.069608848475,0
"e1q4a-1",49,288.766735042341,229.637766352153,0
"e1q4a-1",50,179.783454435401,229.193794877211,0
"e1q4a-1",51,159.055687186099,164.382113168243,0
"e1q4a-1",52,61.4307672118879,160.110735986743,NA
"e1q4a-1",54,178.205411366746,332.234471245798,1
"e1q4a-1",55,210.169154566071,306.214858073728,0
"e1q4a-1",56,134.124640399688,371.222458831914,0
"e1q4a-1",57,47.3913835793221,287.541530060776,0
"e1q4a-1",58,49.5318031416101,214.475964464124,0
"e1q4a-1",59,75.4521065502235,139.711484430834,NA
"e1q4a-1",61,86.3457081309436,120.276249692249,2
"e1q4a-1",62,69.1690822707401,118.412787561259,NA
"e1q5-1",36,48.268916049683,49.5658799676198,0
"e1q5-1",37,19.9901218501145,19.2172000694357,2
"e1q5-1",38,42.1449820102575,81.8260723869729,0
"e1q5-1",39,104.214341852085,126.391518878329,0
"e1q5-1",40,131.694547804212,138.408446090905,1
"e1q5-1",41,41.137849791002,74.3300217945539,1
"e1q5-1",42,16.637845938612,59.1800876139676,1
"e1q5-1",43,2.6113105753265,127.002496237431,8
"e1q5-1",44,82.910078967209,99.116014595114,2
"e1q5-1",45,120.139583060316,84.4700835069938,1
"e1q5-1",46,169.572087891811,107.935352305781,2
"e1q5-1",47,279.161747900329,136.561989162181,0
"e1q5-1",48,473.014270084388,199.069608848475,0
"e1q5-1",49,388.804466331209,229.637766352153,2
"e1q5-1",50,530.342250276463,229.193794877211,0
"e1q5-1",51,427.205032937,164.382113168243,1
"e1q5-1",52,293.703114481005,160.110735986743,3
"e1q5-1",53,531.716475899355,279.303106033549,1
"e1q5-1",54,705.421775618097,332.234471245798,2
"e1q5-1",55,738.04976271771,306.214858073728,1
"e1q5-1",56,1030.24474383101,371.222458831914,0
"e1q5-1",57,756.823651992603,287.541530060776,1
"e1q5-1",58,362.84051415702,214.475964464124,0
"e1q5-1",59,510.24800571066,139.711484430834,0
"e1q5-1",60,270.859690232827,236.45507991738,2
"e1q5-1",61,192.52109180112,120.276249692249,1
"e1q5-1",62,0.69750005,118.412787561259,11
"e1q5-1",63,259.374695452207,248.561537270797,1
"e1q5-1",64,53.2066955834815,38.6763960871423,2
"e1q5-1",65,172.925373292888,130.77724025217,NA
"e1q5-1",67,85.1351046090984,89.4180040143396,NA
"e1q5-1",69,21.2856171553654,90.8679422533923,NA
"e1q5-1",71,33.6018088073381,34.6350793156617,NA
"e2q2-3",36,52.0198267890032,49.5658799676198,1
"e2q2-3",37,13.428713862911,19.2172000694357,2
"e2q2-3",38,125.872477242877,81.8260723869729,0
"e2q2-3",39,186.330245951561,126.391518878329,0
"e2q2-3",40,200.222499300217,138.408446090905,0
"e2q2-3",41,12.1558647424255,74.3300217945539,0
"e2q2-3",42,25.3785650190416,59.1800876139676,0
"e2q2-3",43,20.6985389867115,127.002496237431,1
"e2q2-3",44,89.2730045234007,99.116014595114,2
"e2q2-3",45,100.871145839564,84.4700835069938,1
"e2q2-3",46,135.304692128217,107.935352305781,0
"e2q2-3",47,177.033377546395,136.561989162181,NA
"e2q2-3",49,234.735000699974,229.637766352153,3
"e2q2-3",50,253.785709992496,229.193794877211,0
"e2q2-3",51,212.078429380232,164.382113168243,0
"e2q2-3",52,246.339461207661,160.110735986743,0
"e2q2-3",53,281.853183521984,279.303106033549,3
"e2q2-3",54,428.436813538512,332.234471245798,0
"e2q2-3",55,319.08256120964,306.214858073728,0
"e2q2-3",56,316.221919673245,371.222458831914,0
"e2q2-3",57,383.768349004005,287.541530060776,1
"e2q2-3",58,272.778145847932,214.475964464124,0
"e2q2-3",59,74.6228233162986,139.711484430834,NA
"e2q2-3",61,94.8879176620264,120.276249692249,1
"e2q2-3",62,142.198335623841,118.412787561259,4
"e2q2-3",63,237.748379089387,248.561537270797,0
"e2q2-3",64,24.146096590803,38.6763960871423,2
"e2q2-3",65,171.243606883792,130.77724025217,0
"e2q2-3",66,74.5927064544526,98.1425683012999,0
"e2q2-3",67,55.9576055142135,89.4180040143396,0
"e2q2-3",68,11.027240488526,80.5222580094875,3
"e2q2-3",69,44.9074944760123,90.8679422533923,NA
"e2q2-3",71,3.78740103959819,34.6350793156617,NA
"e2q2-4",36,19.7376693321587,49.5658799676198,0
"e2q2-4",37,5.65982295929268,19.2172000694357,0
"e2q2-4",38,78.1617924166505,81.8260723869729,0
"e2q2-4",39,81.0276126542341,126.391518878329,0
"e2q2-4",40,26.4325651315932,138.408446090905,0
"e2q2-4",41,28.0980522436191,74.3300217945539,0
"e2q2-4",42,41.417500092451,59.1800876139676,NA
"e2q2-4",44,76.5720057211267,99.116014595114,0
"e2q2-4",45,7.49452537558574,84.4700835069938,0
"e2q2-4",46,9.70626222005786,107.935352305781,NA
"e2qo-1",36,78.2371076996344,49.5658799676198,0
"e2qo-1",37,42.6242920075566,19.2172000694357,0
"e2qo-1",38,161.2323159182,81.8260723869729,0
"e2qo-1",39,260.537162618478,126.391518878329,2
"e2qo-1",40,261.120926417215,138.408446090905,3
"e2qo-1",41,182.152835490246,74.3300217945539,0
"e2qo-1",42,146.697502179636,59.1800876139676,1
"e2qo-1",43,328.283526845347,127.002496237431,1
"e2qo-1",44,208.198646347177,99.116014595114,NA
"e2qo-1",46,234.840261008282,107.935352305781,NA
